City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Banda Aceh,ID,2022-10-13 17:22:51,5.5577,95.3222,79.02,81,45,14.12
90,Jamestown,US,2022-10-13 17:23:51,42.097,-79.2353,53.02,97,100,8.05
91,Provideniya,RU,2022-10-13 17:23:52,64.3833,-173.3,23.23,68,4,4.34
92,Kaitangata,NZ,2022-10-13 17:22:30,-46.2817,169.8464,40.21,91,34,4.29
93,Alofi,NU,2022-10-13 17:22:30,-19.0595,-169.9187,67.89,100,96,2.3
94,Paramonga,PE,2022-10-13 17:23:54,-10.6667,-77.8333,65.68,72,50,10.58
95,Lebu,CL,2022-10-13 17:20:50,-37.6167,-73.65,51.24,57,39,20.07
96,Hilo,US,2022-10-13 17:19:44,19.7297,-155.09,82.27,83,0,3.0
97,Matara,LK,2022-10-13 17:23:54,5.9485,80.5353,77.11,88,94,9.4
98,Shimoda,JP,2022-10-13 17:23:55,34.6667,138.95,62.1,89,99,15.84
99,Buraydah,SA,2022-10-13 17:20:33,26.326,43.975,82.85,11,0,5.88
100,Bathsheba,BB,2022-10-13 17:23:57,13.2167,-59.5167,88.41,70,40,16.11
101,Lavrentiya,RU,2022-10-13 17:23:57,65.5833,-171.0,23.14,55,13,4.76
102,Chokurdakh,RU,2022-10-13 17:23:58,70.6333,147.9167,8.2,96,94,4.7
103,Chuy,UY,2022-10-13 17:23:58,-33.6971,-53.4616,60.06,69,96,20.11
104,Kapaa,US,2022-10-13 17:23:59,22.0752,-159.319,75.18,92,100,8.05
105,San Cristobal,VE,2022-10-13 17:22:59,7.7669,-72.225,80.78,47,97,3.44
106,Kaili,ID,2022-10-13 17:23:59,-3.4626,120.2147,67.32,92,96,2.93
107,Kerugoya,KE,2022-10-13 17:24:00,-0.4989,37.2803,70.18,45,91,7.38
108,Port Elizabeth,ZA,2022-10-13 17:24:00,-33.918,25.5701,69.1,97,75,19.57
109,Talnakh,RU,2022-10-13 17:24:01,69.4865,88.3972,27.21,96,98,6.26
110,Zhezkazgan,KZ,2022-10-13 17:24:01,47.8043,67.7144,56.46,21,7,5.91
111,Progreso,MX,2022-10-13 17:24:02,21.2833,-89.6667,82.51,75,100,4.05
112,Cherskiy,RU,2022-10-13 17:24:02,68.75,161.3,6.62,91,100,5.32
113,Yellowknife,CA,2022-10-13 17:20:28,62.456,-114.3525,36.12,75,75,31.07
114,Saskylakh,RU,2022-10-13 17:24:03,71.9167,114.0833,17.94,97,97,5.12
115,Rocky Mountain House,CA,2022-10-13 17:24:04,52.3668,-114.9188,46.51,53,9,1.14
116,Narsaq,GL,2022-10-13 17:24:06,60.9167,-46.05,35.82,61,28,3.04
117,Likasi,CD,2022-10-13 17:24:07,-10.9814,26.7333,74.55,19,42,4.12
118,Mayya,RU,2022-10-13 17:24:07,61.7333,130.2811,29.52,98,100,3.0
119,Klaksvik,FO,2022-10-13 17:24:08,62.2266,-6.589,45.52,82,98,9.91
120,Xingyi,CN,2022-10-13 17:24:08,24.1877,102.817,56.61,96,100,3.04
121,Saint-Joseph,RE,2022-10-13 17:24:09,-21.3667,55.6167,70.18,72,19,12.01
122,Alice Springs,AU,2022-10-13 17:24:09,-23.7,133.8833,47.75,66,40,0.0
123,Hong Gai,VN,2022-10-13 17:24:10,20.956,107.0946,73.31,60,42,5.46
124,Constitucion,CL,2022-10-13 17:24:10,-35.3333,-72.4167,59.02,43,10,18.39
125,Uhlove,UA,2022-10-13 17:24:11,44.8215,33.6045,58.01,57,85,13.71
126,Huarmey,PE,2022-10-13 17:24:12,-10.0681,-78.1522,66.69,72,48,11.01
127,Husavik,IS,2022-10-13 17:24:12,66.0449,-17.3389,36.28,96,100,6.08
128,Ciudad Bolivar,VE,2022-10-13 17:24:13,8.1222,-63.5497,88.79,51,79,9.28
129,Airai,TL,2022-10-13 17:24:13,-8.9266,125.4092,61.45,91,47,1.48
130,Osakarovka,KZ,2022-10-13 17:24:15,50.565,72.5692,52.68,28,100,8.52
131,Isangel,VU,2022-10-13 17:24:15,-19.55,169.2667,72.19,73,96,13.02
132,Chambishi,ZM,2022-10-13 17:24:16,-12.6325,28.0537,73.89,19,0,4.94
133,Bengkulu,ID,2022-10-13 17:22:18,-3.8004,102.2655,74.82,91,100,3.51
134,Batagay-Alyta,RU,2022-10-13 17:24:17,67.8006,130.4114,5.7,86,89,2.93
135,Sorong,ID,2022-10-13 17:25:18,-0.8833,131.25,78.69,85,98,5.57
136,Zapolyarnyy,RU,2022-10-13 17:25:18,69.4154,30.8136,38.48,92,100,14.76
137,Road Town,VG,2022-10-13 17:24:14,18.4167,-64.6167,87.89,70,20,6.91
138,Yenagoa,NG,2022-10-13 17:25:20,4.9247,6.2642,78.55,85,100,5.48
139,Hithadhoo,MV,2022-10-13 17:20:53,-0.6,73.0833,81.59,70,85,12.59
140,Zhob,PK,2022-10-13 17:25:20,31.3411,69.4481,67.77,16,0,4.41
141,Nome,US,2022-10-13 17:25:21,64.5011,-165.4064,19.47,79,0,0.0
142,Arraial Do Cabo,BR,2022-10-13 17:25:21,-22.9661,-42.0278,82.26,61,0,24.16
143,Ormara,PK,2022-10-13 17:25:22,25.2088,64.6357,80.44,63,0,6.64
144,Vyazemskiy,RU,2022-10-13 17:25:22,47.5378,134.7525,46.02,90,27,5.01
145,Hami,CN,2022-10-13 17:25:23,42.8,93.45,52.18,40,1,3.18
146,Khatanga,RU,2022-10-13 17:25:24,71.9667,102.5,-2.47,100,52,5.08
147,Codrington,AU,2022-10-13 17:24:13,-38.2667,141.9667,49.75,90,48,14.0
148,Ribeira Grande,PT,2022-10-13 17:25:25,38.5167,-28.7,74.77,83,20,14.97
149,Jieshi,CN,2022-10-13 17:25:26,22.8134,115.8257,74.86,77,60,18.66
150,Seddon,AU,2022-10-13 17:25:26,-37.8068,144.8916,52.75,92,0,11.5
151,Namibe,AO,2022-10-13 17:25:27,-15.1961,12.1522,69.87,84,19,10.87
152,Karangampel,ID,2022-10-13 17:25:27,-6.4622,108.4519,80.06,76,100,5.08
153,Zacler,CZ,2022-10-13 17:25:28,50.6633,15.9106,51.3,84,57,2.15
154,Nikolskoye,RU,2022-10-13 17:20:46,59.7035,30.7861,42.69,84,97,4.79
155,Naze,JP,2022-10-13 17:25:29,28.3667,129.4833,74.32,86,57,25.03
156,Raudeberg,NO,2022-10-13 17:25:29,61.9875,5.1352,47.07,70,32,19.19
157,Batagay,RU,2022-10-13 17:25:30,67.6333,134.6333,-2.31,99,93,2.66
158,Paita,PE,2022-10-13 17:25:31,-5.0892,-81.1144,70.72,64,21,12.44
159,Tornio,FI,2022-10-13 17:25:32,65.8481,24.1466,44.62,88,76,9.28
160,Talaya,RU,2022-10-13 17:25:32,61.3833,152.75,6.96,97,96,1.95
161,Jasper,US,2022-10-13 17:25:33,37.2001,-94.3502,69.06,25,0,19.57
162,Vostok,RU,2022-10-13 17:25:34,46.4856,135.8833,45.1,85,93,4.12
163,Srednekolymsk,RU,2022-10-13 17:25:35,67.45,153.6833,12.79,93,100,5.03
164,Nauen,DE,2022-10-13 17:25:35,52.607,12.8737,59.09,71,100,3.98
165,Rudbar,AF,2022-10-13 17:25:36,30.15,62.6,73.89,10,0,5.73
166,Nanortalik,GL,2022-10-13 17:23:51,60.1432,-45.2371,33.4,54,5,10.67
167,Katsuura,JP,2022-10-13 17:25:37,35.1333,140.3,66.74,93,100,20.49
168,Georgetown,MY,2022-10-13 17:25:29,5.4112,100.3354,79.9,91,20,3.44
169,Cotui,DO,2022-10-13 17:25:38,19.0527,-70.1494,88.72,55,42,6.06
170,Port Lincoln,AU,2022-10-13 17:25:39,-34.7333,135.8667,54.01,74,8,20.58
171,Lambarene,GA,2022-10-13 17:25:39,-0.7001,10.2406,76.91,91,94,4.09
172,Beyneu,KZ,2022-10-13 17:25:40,45.3167,55.2,55.04,61,53,8.01
173,Manzanillo,CU,2022-10-13 17:25:40,20.3433,-77.1167,86.99,59,96,4.38
174,Imbituba,BR,2022-10-13 17:25:40,-28.24,-48.6703,75.85,87,99,6.53
175,Vao,NC,2022-10-13 17:25:21,-22.6667,167.4833,70.34,69,58,16.91
176,Petropavlovsk-Kamchatskiy,RU,2022-10-13 17:21:37,53.0452,158.6483,34.39,75,0,6.71
177,Korla,CN,2022-10-13 17:25:41,41.7597,86.1469,53.29,35,85,3.44
178,Kieta,PG,2022-10-13 17:21:03,-6.2167,155.6333,77.95,84,100,2.68
179,Doha,QA,2022-10-13 17:24:16,25.2867,51.5333,86.31,74,0,4.61
180,Chicama,PE,2022-10-13 17:26:43,-7.8447,-79.1469,61.34,59,43,10.13
181,Ilulissat,GL,2022-10-13 17:26:44,69.2167,-51.1,24.82,93,75,3.44
182,Belmonte,BR,2022-10-13 17:25:23,-15.8631,-38.8828,80.8,60,14,8.95
183,Lazaro Cardenas,MX,2022-10-13 17:26:45,17.9583,-102.2,83.91,75,99,5.03
184,Novo Mesto,SI,2022-10-13 17:26:46,45.804,15.1689,59.2,87,73,2.44
185,Kijang,KR,2022-10-13 17:26:46,35.2442,129.2139,55.13,76,2,7.99
186,Ornskoldsvik,SE,2022-10-13 17:26:47,63.2909,18.7153,47.35,100,100,4.61
187,Nixa,US,2022-10-13 17:26:48,37.0434,-93.2944,67.24,31,5,5.01
188,Faanui,PF,2022-10-13 17:26:48,-16.4833,-151.75,77.94,78,19,13.56
189,Bonito,BR,2022-10-13 17:26:49,-21.1211,-56.4819,85.19,52,98,7.14
190,Kuna,US,2022-10-13 17:26:50,43.4918,-116.4201,68.02,43,0,9.22
191,Leningradskiy,RU,2022-10-13 17:26:50,69.3833,178.4167,13.73,74,72,5.79
192,Digha,IN,2022-10-13 17:26:50,21.6833,87.55,79.86,78,25,2.51
193,Ostrovnoy,RU,2022-10-13 17:26:51,68.0531,39.5131,40.55,85,73,23.49
194,Murgab,TM,2022-10-13 17:26:19,37.4966,61.9714,69.85,42,3,7.92
195,Touros,BR,2022-10-13 17:26:53,-5.1989,-35.4608,84.36,60,14,18.48
196,Hofn,IS,2022-10-13 17:26:53,64.2539,-15.2082,42.82,70,20,5.75
197,Pumiao,CN,2022-10-13 17:26:54,22.75,108.4833,63.0,41,21,5.01
198,Ayagoz,KZ,2022-10-13 17:26:55,47.9714,80.4392,44.74,42,89,9.17
199,Dikson,RU,2022-10-13 17:26:55,73.5069,80.5464,33.06,93,100,29.75
200,San Quintin,MX,2022-10-13 17:26:56,30.4833,-115.95,70.38,75,86,11.3
201,Tazovskiy,RU,2022-10-13 17:26:56,67.4667,78.7,36.88,83,99,12.88
202,Ivanivka,UA,2022-10-13 17:26:57,46.7208,34.553,50.86,53,65,7.81
203,Wanning,CN,2022-10-13 17:26:57,18.8003,110.3967,74.14,73,100,12.64
204,Yerofey Pavlovich,RU,2022-10-13 17:26:58,53.9667,121.9667,32.67,84,100,1.57
205,Vanavara,RU,2022-10-13 17:26:58,60.34,102.2797,28.6,96,90,5.5
206,Antofagasta,CL,2022-10-13 17:22:25,-23.65,-70.4,61.88,63,6,8.34
207,Pangnirtung,CA,2022-10-13 17:26:59,66.1451,-65.7125,21.2,58,20,3.44
208,Turukhansk,RU,2022-10-13 17:27:00,65.8167,87.9833,32.23,87,100,3.67
209,Kodiak,US,2022-10-13 17:27:00,57.79,-152.4072,35.11,48,0,9.22
210,Esperance,AU,2022-10-13 17:27:01,-33.8667,121.9,51.1,77,19,7.16
211,Rawson,AR,2022-10-13 17:26:21,-43.3002,-65.1023,51.35,29,0,3.04
212,Aasiaat,GL,2022-10-13 17:27:02,68.7098,-52.8699,21.76,89,71,7.45
213,Broome,US,2022-10-13 17:27:02,42.2506,-75.833,61.9,89,100,12.66
214,Yar-Sale,RU,2022-10-13 17:27:03,66.8333,70.8333,39.25,89,100,14.03
215,Tura,IN,2022-10-13 17:27:03,25.5198,90.2201,70.66,97,29,2.98
216,Arteaga,MX,2022-10-13 17:27:04,18.4667,-102.4167,75.4,72,95,2.3
217,New Norfolk,AU,2022-10-13 17:27:04,-42.7826,147.0587,54.9,71,100,8.01
218,Nishihara,JP,2022-10-13 17:27:05,26.1842,127.7558,81.68,78,75,17.27
219,Cerrito,CO,2022-10-13 17:27:05,6.8432,-72.694,62.73,74,97,2.33
220,Lieksa,FI,2022-10-13 17:27:06,63.3167,30.0167,45.27,85,100,14.94
221,Denpasar,ID,2022-10-13 17:23:56,-8.65,115.2167,78.46,94,40,3.44
222,Kaniama,CD,2022-10-13 17:27:08,-7.5667,24.1833,80.26,37,43,3.36
223,Mount Isa,AU,2022-10-13 17:27:09,-20.7333,139.5,69.57,40,1,21.85
224,Tyrma,RU,2022-10-13 17:28:09,50.0833,132.1667,36.43,93,2,0.76
225,Lagoa,PT,2022-10-13 17:28:10,39.05,-27.9833,70.86,74,23,7.7
226,Soweto,ZA,2022-10-13 17:28:10,-26.2678,27.8585,77.45,28,37,0.0
227,Marsh Harbour,BS,2022-10-13 17:28:11,26.5412,-77.0636,83.14,70,100,12.1
228,Port Hardy,CA,2022-10-13 17:28:11,50.6996,-127.4199,50.18,93,40,2.3
229,Necochea,AR,2022-10-13 17:28:11,-38.5473,-58.7368,55.09,40,5,18.21
230,Santa Isabel Do Rio Negro,BR,2022-10-13 17:28:12,-0.4139,-65.0192,98.4,34,55,2.51
231,Sabha,LY,2022-10-13 17:28:12,27.0377,14.4283,83.23,20,10,8.48
232,Tombouctou,ML,2022-10-13 17:28:13,20.0,-3.0,98.91,9,7,7.36
233,San Pedro,PH,2022-10-13 17:28:13,14.35,121.0167,82.31,80,75,4.61
234,Hrusovany Nad Jevisovkou,CZ,2022-10-13 17:28:14,48.8299,16.4027,58.17,100,93,4.47
235,Coquimbo,CL,2022-10-13 17:28:14,-29.9533,-71.3436,62.33,67,75,9.22
236,Pimentel,PE,2022-10-13 17:28:15,-6.8367,-79.9342,68.29,64,20,14.97
237,Baraki Barak,AF,2022-10-13 17:28:15,33.9675,68.9486,58.06,12,0,1.5
238,Nemuro,JP,2022-10-13 17:28:15,43.3236,145.575,57.34,73,100,15.66
239,Veraval,IN,2022-10-13 17:28:16,20.9,70.3667,82.94,70,61,2.06
240,Springbok,ZA,2022-10-13 17:28:16,-29.6643,17.8865,65.61,44,6,7.29
241,Windhoek,NA,2022-10-13 17:28:17,-22.5594,17.0832,84.4,14,96,5.75
242,Urumqi,CN,2022-10-13 17:24:19,43.801,87.6005,49.15,32,0,4.47
243,Guadalupe,MX,2022-10-13 17:28:14,25.6833,-100.25,89.22,47,0,5.75
244,Tallahassee,US,2022-10-13 17:23:49,30.4383,-84.2807,84.99,57,0,5.75
245,Turan,VN,2022-10-13 17:28:19,16.0678,108.2208,78.78,65,40,8.05
246,Adelaide,AU,2022-10-13 17:28:19,-34.9333,138.6,56.68,74,40,23.02
247,Pevek,RU,2022-10-13 17:28:20,69.7008,170.3133,19.4,80,99,6.78
248,Santiago Del Estero,AR,2022-10-13 17:28:20,-27.7951,-64.2615,85.15,18,0,19.82
249,Tabas,IR,2022-10-13 17:28:21,33.5959,56.9244,79.2,12,9,4.97
250,Torbay,CA,2022-10-13 17:28:21,47.6666,-52.7314,61.88,66,20,6.91
251,Kobryn,BY,2022-10-13 17:28:22,52.2138,24.3564,48.85,66,11,5.97
252,Mhango,TZ,2022-10-13 17:28:22,-3.2833,32.85,80.19,22,19,2.48
253,Mehamn,NO,2022-10-13 17:28:23,71.0357,27.8492,39.15,81,0,10.36
254,Saldanha,ZA,2022-10-13 17:28:23,-33.0117,17.9442,60.85,87,64,17.07
255,Fortuna,US,2022-10-13 17:28:24,40.5982,-124.1573,52.14,100,100,0.0
256,Selikhino,RU,2022-10-13 17:28:24,50.3672,137.4996,40.62,93,3,5.26
257,Tindwari,IN,2022-10-13 17:28:24,25.6167,80.5333,77.54,60,0,1.32
258,Victoria,HK,2022-10-13 17:27:43,22.2855,114.1577,80.33,76,52,8.01
259,Kavieng,PG,2022-10-13 17:28:25,-2.5744,150.7967,80.96,76,24,10.2
260,Insar,RU,2022-10-13 17:28:27,53.8653,44.3738,44.58,76,87,8.79
261,Kristinehamn,SE,2022-10-13 17:28:27,59.3098,14.1081,52.36,81,100,8.1
262,Samarai,PG,2022-10-13 17:28:28,-10.6167,150.6667,79.41,81,100,2.51
263,Tessalit,ML,2022-10-13 17:28:28,20.1986,1.0114,96.96,7,25,5.23
264,Lethem,GY,2022-10-13 17:28:29,3.3803,-59.7968,92.82,46,52,5.86
265,Portales,US,2022-10-13 17:28:29,34.1862,-103.3344,65.34,38,0,9.73
266,Benjamin Aceval,PY,2022-10-13 17:28:30,-24.9667,-57.5667,78.94,72,93,4.52
267,Cockburn Town,TC,2022-10-13 17:28:31,21.4612,-71.1419,85.96,66,40,17.27
268,Bojonegoro,ID,2022-10-13 17:28:31,-7.1502,111.8817,78.19,80,100,7.65
269,Inirida,CO,2022-10-13 17:29:33,3.8653,-67.9239,86.79,58,97,5.01
270,Norman Wells,CA,2022-10-13 17:29:33,65.282,-126.8329,30.24,86,100,5.75
271,Visnes,NO,2022-10-13 17:29:34,59.3556,5.2242,49.21,76,0,0.0
272,Fort Frances,CA,2022-10-13 17:29:34,48.5999,-93.4003,38.16,73,100,9.22
273,Islip,US,2022-10-13 17:29:35,40.7298,-73.2104,71.8,82,20,20.71
274,Kirakira,SB,2022-10-13 17:29:35,-10.4544,161.9205,79.18,79,61,6.17
275,Lulea,SE,2022-10-13 17:29:36,65.5842,22.1547,44.67,76,0,3.44
276,San Benito,US,2022-10-13 17:29:36,36.6166,-121.0844,73.87,20,0,0.81
277,Katherine,AU,2022-10-13 17:29:37,-14.4667,132.2667,86.32,54,100,6.91
278,Margate,GB,2022-10-13 17:29:38,51.3813,1.3862,56.1,86,26,1.01
279,Mount Gambier,AU,2022-10-13 17:29:38,-37.8333,140.7667,49.91,93,75,10.36
280,Lamu,KE,2022-10-13 17:29:39,-2.2717,40.902,75.42,81,100,13.98
281,Panlaitan,PH,2022-10-13 17:29:39,12.1191,119.8486,82.22,79,100,6.22
282,Aswan,EG,2022-10-13 17:29:40,24.0934,32.907,92.5,19,0,9.22
283,Visby,SE,2022-10-13 17:29:40,57.6409,18.296,51.82,87,40,10.36
284,Palanga,LT,2022-10-13 17:29:41,55.9175,21.0686,48.22,81,0,6.91
285,Fukuma,JP,2022-10-13 17:29:41,33.7667,130.4667,60.8,80,0,7.87
286,Moyale,KE,2022-10-13 17:29:42,3.5167,39.0584,75.63,45,48,8.55
287,La Ronge,CA,2022-10-13 17:29:42,55.1001,-105.2842,37.62,48,20,17.27
288,Nikolayevsk-Na-Amure,RU,2022-10-13 17:29:43,53.1406,140.73,37.92,88,80,4.56
289,Emirdag,TR,2022-10-13 17:29:44,39.0197,31.15,60.57,51,66,3.53
290,Faya,SA,2022-10-13 17:25:04,18.3851,42.4509,66.31,35,8,3.62
291,Acapulco,MX,2022-10-13 17:27:39,16.8634,-99.8901,85.82,66,100,5.75
292,Vinukonda,IN,2022-10-13 17:29:45,16.05,79.75,76.64,90,98,3.74
293,Vizinga,RU,2022-10-13 17:29:45,61.0749,50.1031,43.52,88,100,4.25
